Type,Algorithm,DataSize,Threads,Sample,Time(ns)
Serial,bubble,100,1,1,162100
Serial,bubble,100,1,2,117400
Serial,bubble,100,1,3,117500
Serial,bubble,100,1,4,117500
Serial,bubble,100,1,5,117700
Parallel,bubble,100,2,1,11393600
Parallel,bubble,100,2,2,4694700
Parallel,bubble,100,2,3,4010300
Parallel,bubble,100,2,4,3991000
Parallel,bubble,100,2,5,2893000
Parallel,bubble,100,4,1,3609000
Parallel,bubble,100,4,2,3568200
Parallel,bubble,100,4,3,3750100
Parallel,bubble,100,4,4,2878700
Parallel,bubble,100,4,5,2952200
Parallel,bubble,100,8,1,4905600
Parallel,bubble,100,8,2,4898300
Parallel,bubble,100,8,3,4765000
Parallel,bubble,100,8,4,3436000
Parallel,bubble,100,8,5,3082300
Serial,merge,100,1,1,53300
Serial,merge,100,1,2,53700
Serial,merge,100,1,3,49000
Serial,merge,100,1,4,44500
Serial,merge,100,1,5,13700
Parallel,merge,100,2,1,310100
Parallel,merge,100,2,2,354400
Parallel,merge,100,2,3,186800
Parallel,merge,100,2,4,197100
Parallel,merge,100,2,5,181400
Parallel,merge,100,4,1,260900
Parallel,merge,100,4,2,232600
Parallel,merge,100,4,3,251100
Parallel,merge,100,4,4,185500
Parallel,merge,100,4,5,186700
Parallel,merge,100,8,1,149500
Parallel,merge,100,8,2,186400
Parallel,merge,100,8,3,184500
Parallel,merge,100,8,4,179700
Parallel,merge,100,8,5,157100
Serial,quick,100,1,1,23700
Serial,quick,100,1,2,23300
Serial,quick,100,1,3,20700
Serial,quick,100,1,4,28200
Serial,quick,100,1,5,8100
Parallel,quick,100,2,1,218800
Parallel,quick,100,2,2,146500
Parallel,quick,100,2,3,159800
Parallel,quick,100,2,4,171200
Parallel,quick,100,2,5,200800
Parallel,quick,100,4,1,164900
Parallel,quick,100,4,2,188200
Parallel,quick,100,4,3,215200
Parallel,quick,100,4,4,232300
Parallel,quick,100,4,5,174200
Parallel,quick,100,8,1,187900
Parallel,quick,100,8,2,166600
Parallel,quick,100,8,3,171800
Parallel,quick,100,8,4,161100
Parallel,quick,100,8,5,151300
Serial,insertion,100,1,1,46800
Serial,insertion,100,1,2,41500
Serial,insertion,100,1,3,40200
Serial,insertion,100,1,4,41500
Serial,insertion,100,1,5,42500
Parallel,insertion,100,2,1,6413200
Parallel,insertion,100,2,2,3106600
Parallel,insertion,100,2,3,2581500
Parallel,insertion,100,2,4,2615900
Parallel,insertion,100,2,5,2712900
Parallel,insertion,100,4,1,3576500
Parallel,insertion,100,4,2,3172600
Parallel,insertion,100,4,3,2987800
Parallel,insertion,100,4,4,2941600
Parallel,insertion,100,4,5,2785500
Parallel,insertion,100,8,1,3262700
Parallel,insertion,100,8,2,2912200
Parallel,insertion,100,8,3,2926700
Parallel,insertion,100,8,4,2673200
Parallel,insertion,100,8,5,3084600
Serial,bubble,1000,1,1,2693700
Serial,bubble,1000,1,2,1610500
Serial,bubble,1000,1,3,521500
Serial,bubble,1000,1,4,2767100
Serial,bubble,1000,1,5,498900
Parallel,bubble,1000,2,1,17471800
Parallel,bubble,1000,2,2,16333800
Parallel,bubble,1000,2,3,17848800
Parallel,bubble,1000,2,4,14766900
Parallel,bubble,1000,2,5,15198500
Parallel,bubble,1000,4,1,17835100
Parallel,bubble,1000,4,2,17877900
Parallel,bubble,1000,4,3,19624800
Parallel,bubble,1000,4,4,19713600
Parallel,bubble,1000,4,5,20333600
Parallel,bubble,1000,8,1,26393900
Parallel,bubble,1000,8,2,22245300
Parallel,bubble,1000,8,3,23858000
Parallel,bubble,1000,8,4,22041800
Parallel,bubble,1000,8,5,22407500
Serial,merge,1000,1,1,140400
Serial,merge,1000,1,2,132400
Serial,merge,1000,1,3,109400
Serial,merge,1000,1,4,115600
Serial,merge,1000,1,5,103000
Parallel,merge,1000,2,1,415100
Parallel,merge,1000,2,2,304300
Parallel,merge,1000,2,3,292200
Parallel,merge,1000,2,4,325900
Parallel,merge,1000,2,5,279700
Parallel,merge,1000,4,1,239600
Parallel,merge,1000,4,2,303700
Parallel,merge,1000,4,3,217000
Parallel,merge,1000,4,4,226300
Parallel,merge,1000,4,5,244600
Parallel,merge,1000,8,1,230200
Parallel,merge,1000,8,2,210700
Parallel,merge,1000,8,3,257500
Parallel,merge,1000,8,4,285300
Parallel,merge,1000,8,5,335900
Serial,quick,1000,1,1,66400
Serial,quick,1000,1,2,59100
Serial,quick,1000,1,3,60600
Serial,quick,1000,1,4,70600
Serial,quick,1000,1,5,53300
Parallel,quick,1000,2,1,271700
Parallel,quick,1000,2,2,198000
Parallel,quick,1000,2,3,205300
Parallel,quick,1000,2,4,175500
Parallel,quick,1000,2,5,202200
Parallel,quick,1000,4,1,165500
Parallel,quick,1000,4,2,182700
Parallel,quick,1000,4,3,182800
Parallel,quick,1000,4,4,193300
Parallel,quick,1000,4,5,230500
Parallel,quick,1000,8,1,178300
Parallel,quick,1000,8,2,144900
Parallel,quick,1000,8,3,179300
Parallel,quick,1000,8,4,156600
Parallel,quick,1000,8,5,167800
Serial,insertion,1000,1,1,1873300
Serial,insertion,1000,1,2,801300
Serial,insertion,1000,1,3,645900
Serial,insertion,1000,1,4,743100
Serial,insertion,1000,1,5,566200
Parallel,insertion,1000,2,1,12914800
Parallel,insertion,1000,2,2,10937400
Parallel,insertion,1000,2,3,11963800
Parallel,insertion,1000,2,4,11497600
Parallel,insertion,1000,2,5,12288000
Parallel,insertion,1000,4,1,12640600
Parallel,insertion,1000,4,2,12554200
Parallel,insertion,1000,4,3,13428100
Parallel,insertion,1000,4,4,13554600
Parallel,insertion,1000,4,5,12985700
Parallel,insertion,1000,8,1,14999300
Parallel,insertion,1000,8,2,15017100
Parallel,insertion,1000,8,3,14891800
Parallel,insertion,1000,8,4,14788600
Parallel,insertion,1000,8,5,14644500
Serial,bubble,10000,1,1,30542500
Serial,bubble,10000,1,2,30481600
Serial,bubble,10000,1,3,31295600
Serial,bubble,10000,1,4,31777700
Serial,bubble,10000,1,5,30993000
Parallel,bubble,10000,2,1,289505200
Parallel,bubble,10000,2,2,269732500
Parallel,bubble,10000,2,3,269981600
Parallel,bubble,10000,2,4,264142800
Parallel,bubble,10000,2,5,260054400
Parallel,bubble,10000,4,1,282402400
Parallel,bubble,10000,4,2,290665300
Parallel,bubble,10000,4,3,278977700
Parallel,bubble,10000,4,4,285486400
Parallel,bubble,10000,4,5,270225700
Parallel,bubble,10000,8,1,303153500
Parallel,bubble,10000,8,2,299261000
Parallel,bubble,10000,8,3,285111100
Parallel,bubble,10000,8,4,285637400
Parallel,bubble,10000,8,5,291299100
Serial,merge,10000,1,1,869300
Serial,merge,10000,1,2,836000
Serial,merge,10000,1,3,835000
Serial,merge,10000,1,4,832100
Serial,merge,10000,1,5,833100
Parallel,merge,10000,2,1,1057700
Parallel,merge,10000,2,2,1198300
Parallel,merge,10000,2,3,960300
Parallel,merge,10000,2,4,980100
Parallel,merge,10000,2,5,946300
Parallel,merge,10000,4,1,1247900
Parallel,merge,10000,4,2,953700
Parallel,merge,10000,4,3,1002800
Parallel,merge,10000,4,4,985700
Parallel,merge,10000,4,5,1088800
Parallel,merge,10000,8,1,1151500
Parallel,merge,10000,8,2,1033900
Parallel,merge,10000,8,3,1120900
Parallel,merge,10000,8,4,1204700
Parallel,merge,10000,8,5,1014100
Serial,quick,10000,1,1,553300
Serial,quick,10000,1,2,412100
Serial,quick,10000,1,3,408700
Serial,quick,10000,1,4,408700
Serial,quick,10000,1,5,401600
Parallel,quick,10000,2,1,579800
Parallel,quick,10000,2,2,555200
Parallel,quick,10000,2,3,561900
Parallel,quick,10000,2,4,534500
Parallel,quick,10000,2,5,720500
Parallel,quick,10000,4,1,600500
Parallel,quick,10000,4,2,568500
Parallel,quick,10000,4,3,571500
Parallel,quick,10000,4,4,552300
Parallel,quick,10000,4,5,565400
Parallel,quick,10000,8,1,545500
Parallel,quick,10000,8,2,655800
Parallel,quick,10000,8,3,572700
Parallel,quick,10000,8,4,542500
Parallel,quick,10000,8,5,538400
Serial,insertion,10000,1,1,17167000
Serial,insertion,10000,1,2,12971900
Serial,insertion,10000,1,3,13209100
